id,year,exclude,Transaction,total_bal_per,Location,Category,Total Balance,Frequency,Category_Amount,Total_balance_after,,
1,2010,,McDonalds,15,London,Compensation,10000,12,13500,9230,90000,0.855555556
2,2010,,Shopper's Stop,51.11111111,London,COGS,11100,35,46000,10293.4,90000,0.896222222
3,2010,,Shopper's Stop,9.159888889,Delhi,Professional Services and Fees,8900,12,8243.9,656.1,90000,9.159888889
4,2010,,Walmart,5.688888889,New York,Insurance,13000,15,5120,7880,90000,5.688888889
5,2010,,Walmart,26.11111111,San-Fransisco,Office/Business Expenses,12120,20,23500,8120,90000,4.444444444
6,2010,,Adidas,8.888888889,Mumbai,Donations & Gifts,17800,20,8000,9800,90000,8.888888889
7,2011,,Nike,11.2,Bangalore,Insurance,70000,12,14000,56000,125000,11.2
8,2011,,Domino's,32,Delhi,Office/Business Expenses,25000,35,40000,5690,125000,15.448
9,2011,,PVR Cinemas,13.104,Mumbai,Donations & Gifts,29120,2,16380,12740,125000,13.104
10,2011,,Bangalore Central,15.04,Bangalore,Miscellaneous,22220,26,18800,21140,125000,0.864
11,2011,,ATM / Withdrawl,1.752,Bangalore,Pension Plans,14510,15,2190,12320,125000,1.752
12,2011,,GoIBIBO.com,2.192,Delhi,Professional Services and Fees,60110,12,2740,57370,125000,2.192
13,2011,,ATM / Withdrawl,3.68,San-Fransisco,Salary,14000,44,4600,9400,125000,3.68
14,2009,,Walmart,12.18181818,London,Insurance,10000,6,6700,3300,55000,12.18181818
15,2009,,ATM / Withdrawl,16.36363636,New York,Compensation,11010,12,9000,2010,55000,16.36363636
16,2009,,ATM / Withdrawl,41.81818182,Bangalore,COGS,4500,37,23000,2200,55000,4.181818182
17,2009,,PVR Cinemas,4.581818182,Delhi,Professional Services and Fees,12110,12,2520,9590,55000,4.581818182
18,2009,,Big Bazaar,2.727272727,Bangalore,Pension Plans,20000,15,1500,5000,55000,27.27272727
19,2009,,Big Bazaar,30.90909091,Delhi,Office/Business Expenses,21000,7,17000,4000,55000,30.90909091
20,2009,,MasterCard Bill pay,20.21818182,Bangalore,Donations & Gifts,15150,44,11120,4030,55000,20.21818182
21,2009,,Visa bill pay,24.56363636,Delhi,Miscellaneous,21000,36,13510,7490,55000,24.56363636
22,2009,,Visa bill pay,24.56363636,Delhi,Salary,21000,36,13510,7490,55000,24.56363636
23,2010,,Loan Repayments,26.66666667,Mumbai,Loan Repayments,10000,20,24000,2000,90000,26.66666667
24,2010,,Adidas,33.33333333,Mumbai,Miscellaneous,8000,20,30000,5000,90000,3.333333333
25,2010,,Adidas,14.44444444,Mumbai,Salary,22200,20,13000,9200,90000,14.44444444
26,2011,,ATM / Withdrawl,41.6,San-Fransisco,COGS,16000,35,52000,10800,125000,4.16
27,2011,,ATM / Withdrawl,14.4,San-Fransisco,Compensation,18000,12,18000,12200,125000,4.64
24,2009,,Loan Repayments,58.18181818,Mumbai,Loan Repayments,10000,20,32000,2000,55000,58.18181818
25,2011,,Loan Repayments,19.2,Mumbai,Loan Repayments,10000,20,24000,2000,125000,19.2
30,2010,,Big Bazaar,3.272727273,Bangalore,Pension Plans,20000,15,1800,5000,55000,27.27272727
34,2009,,Loan Repayments,60.90909091,Mumbai,Property,10000,15,33500,2000,55000,6.090909091
35,2010,,Loan Repayments,37.22222222,Mumbai,Property,10000,15,33500,2000,90000,3.722222222
36,2011,,Loan Repayments,26.8,Mumbai,Property,10000,15,33500,2000,125000,2.68
37,2009,,Loan Repayments,14.54545455,Mumbai,Taxes,10000,36,8000,2000,55000,14.54545455
38,2010,,Loan Repayments,12.22222222,Mumbai,Taxes,10000,37,11000,2000,90000,12.22222222
39,2011,,Loan Repayments,12,Mumbai,Taxes,10000,38,15000,2000,125000,12
40,2009,,Loan Repayments,11.45454545,Mumbai,Travel & Entertainment,10000,9,6300,2000,55000,11.45454545
41,2010,,Loan Repayments,8.555555556,Mumbai,Travel & Entertainment,10000,8,7700,2000,90000,8.555555556
42,2011,,Loan Repayments,25.6,Mumbai,Travel & Entertainment,10000,41,32000,2000,125000,12
43,2009,,Loan Repayments,20,Mumbai,Uncategorized,50000,35,11000,2000,55000,2
44,2010,,Loan Repayments,24.44444444,Mumbai,Uncategorized,50000,22,22000,2000,90000,2.444444444
45,2011,,Loan Repayments,28.56,Mumbai,Uncategorized,50000,70,35700,2000,125000,2.4
46,2009,,Loan Repayments,2.727272727,Mumbai,Utilities,10000,45,1500,2000,55000,2.727272727
47,2010,,Loan Repayments,1.888888889,Mumbai,Utilities,10000,46,1700,2000,90000,1.888888889
48,2011,,Loan Repayments,1.44,Mumbai,Utilities,10000,47,1800,2000,125000,1.44
49,2009,,Loan Repayments,27.27272727,Mumbai,Withdrawals & Checks,10000,85,15000,2000,55000,9.090909091
50,2010,,Loan Repayments,4.444444444,Mumbai,Withdrawals & Checks,10000,49,4000,2000,90000,4.444444444
51,2011,,Loan Repayments,1.6,Mumbai,Withdrawals & Checks,10000,10,2000,2000,125000,6.4
52,2009,,Loan Repayments,12.72727273,Mumbai,Transfers,10000,51,7000,2000,55000,12.72727273
53,2010,,Loan Repayments,6.111111111,Mumbai,Transfers,10000,52,5500,2000,90000,6.111111111
54,2011,,Loan Repayments,5.2,Mumbai,Transfers,10000,53,6500,2000,125000,5.2
